lat,lon,time,SIS,SID
46.0,9.25,2021-05-07T00:30:00,0.0,0.0
46.0,9.300003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,9.349998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,9.400001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,9.450004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,9.5,2021-05-07T00:30:00,0.0,0.0
46.0,9.550003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,9.599998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,9.650001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,9.700004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,9.75,2021-05-07T00:30:00,0.0,0.0
46.0,9.800003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,9.849998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,9.900001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,9.950004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,10.0,2021-05-07T00:30:00,0.0,0.0
46.0,10.050003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,10.099998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,10.150001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,10.200004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,10.25,2021-05-07T00:30:00,0.0,0.0
46.0,10.300003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,10.349998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,10.400001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,10.450004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,10.5,2021-05-07T00:30:00,0.0,0.0
46.0,10.550003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,10.599998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,10.650001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,10.700004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,10.75,2021-05-07T00:30:00,0.0,0.0
46.0,10.800003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,10.849998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,10.900001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,10.950004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,11.0,2021-05-07T00:30:00,0.0,0.0
46.0,11.050003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,11.099998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,11.150001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,11.200004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,11.25,2021-05-07T00:30:00,0.0,0.0
46.0,11.300003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,11.349998474121094,2021-05-07T00:30:00,0.0,0.0
46.0,11.400001525878906,2021-05-07T00:30:00,0.0,0.0
46.0,11.450004577636719,2021-05-07T00:30:00,0.0,0.0
46.0,11.5,2021-05-07T00:30:00,0.0,0.0
46.0,11.550003051757812,2021-05-07T00:30:00,0.0,0.0
46.0,11.599998474121094,2021-05-07T00:30:00,0.0,0.0
